7th grade math,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1226,276,1502,138,
1,1320,154,1474,77,
2,1376,112,1488,56,
3,1411,94,1505,47,
4,1437,82,1519,41,
5,1458,76,1534,38,
6,1476,72,1548,36,
7,1492,68,1560,34,
8,1506,64,1570,32,
9,1520,62,1582,31,
10,1532,60,1592,30,
11,1544,58,1602,29,
12,1555,58,1613,29,
13,1566,56,1622,28,Level 1/2
14,1577,56,1633,28,
15,1587,56,1643,28,
16,1597,56,1653,28,
17,1607,54,1661,27,
18,1617,54,1671,27,
19,1627,56,1683,28,
20,1637,56,1693,28,Level 2/3
21,1648,,,,
22,1658,,,,
23,1669,,,,
24,1681,,,,
25,1693,,,,
26,1706,,,,
27,1719,,,,
28,1735,,,,
29,1752,,,,
30,1772,,,,
31,1797,,,,
32,1831,,,,
33,1886,,,,
34,1979,,,,
