7th grade reading,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1203,276,1479,138,
1,1296,154,1450,77,
2,1352,112,1464,56,
3,1386,94,1480,47,
4,1412,82,1494,41,
5,1433,76,1509,38,
6,1450,70,1520,35,
7,1466,66,1532,33,
8,1480,64,1544,32,
9,1493,62,1555,31,
10,1505,60,1565,30,
11,1517,58,1575,29,
12,1528,56,1584,28,
13,1538,56,1594,28,Level 1/2
14,1548,56,1604,28,
15,1559,54,1613,27,
16,1568,54,1622,27,
17,1578,54,1632,27,
18,1588,54,1642,27,
19,1598,54,1652,27,
20,1608,54,1662,27,
21,1618,56,1674,28,Level 2/3
22,1628,,,,
23,1639,,,,
24,1650,,,,
25,1662,,,,
26,1675,,,,
27,1689,,,,
28,1704,,,,
29,1721,,,,
30,1741,,,,
31,1766,,,,
32,1800,,,,
33,1855,,,,
34,1947,,,,
