Algebra I,,,,,
,,,,,
# Correct,Scale Score,Growth points,Target score,SE,
0,1271,276,1547,138,
1,1364,154,1518,77,
2,1419,110,1529,56,
3,1453,92,1545,46,
4,1478,84,1562,42,
5,1498,74,1572,38,
6,1515,70,1585,35,
7,1530,66,1596,33,
8,1544,62,1606,32,
9,1556,60,1616,30,
10,1568,58,1626,29,
11,1579,58,1637,29,
12,1589,58,1647,28,Level 1/2
13,1599,54,1653,28,
14,1609,54,1663,27,
15,1619,54,1673,27,
16,1628,52,1680,27,
17,1637,52,1689,26,
18,1647,52,1699,26,
19,1656,52,1708,26,
20,1665,52,1717,27,
21,1674,54,1728,27,Level 2/3
22,1684,,,,
23,1694,,,,
24,1704,,,,
25,1714,,,,
26,1725,,,,
27,1737,,,,
28,1749,,,,
29,1763,,,,
30,1778,,,,
31,1795,,,,
32,1815,,,,
33,1840,,,,
34,1873,,,,
35,1928,,,,
36,2021,,,,
